,PACS_100,PACS_160,Planck_850,SPIRE_250,SPIRE_350,SPIRE_500,Spitzer_24,Spitzer_3.6,Spitzer_4.5,Spitzer_5.8,Spitzer_70,Spitzer_8.0,WISE_12,WISE_22,WISE_3.4,WISE_4.6
0,100.0,160.0,850.0,250.0,350.0,500.0,24.0,3.6,4.5,5.8,70.0,8.0,12.082,22.194,3.368,4.618
1,0.02,0.02,0.0078,0.015,0.015,0.015,0.004,0.015,0.015,0.015,0.045,0.015,0.046,0.056,0.029,0.034
